sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
P.ang 15 10 1.2 1.18 0.92 1.17 0.98 0.98 52 62 98 97 23 687803 4161933 RS137
P.ang 7 8 1.62 1.28 1.18 1.61 1.53 1.31 50 63 99 93 60 687800 4161955 RS139
P.ang 10 5 1.01 0.99 0.87 1.58 0.67 0.63 68 78 86 60 24 687800 4161955 RS139
P.ang 16 7 1.53 1.14 1.07 1.47 1.33 0.82 60 72 196 167 14 687800 4161955 RS139
P.ang 11 5 2.75 2.61 2.34 1.12 1.12 0.59 30 60 129 133 18 687805 4161979 RS142
P.ang 6 11 1.54 1.46 1.27 1.92 1.24 1.06 66 80 145 106 48 687804 4161986 RS144
P.ang 14 5 1.12 0.83 0.64 1.98 1.58 0.81 55 67 113 87 39 687798 4161987 RS145
P.ang 4 4 1.44 1.03 0.39 0.67 0.55 0.52 40 62 77 98 21 687809 4162019 RS147
P.ang 7 8 1.1 0.96 0.73 1.74 1.69 0.98 60 66 5 76 73 687812 4162023 RS148
P.ang 6 9 1.68 1.23 0.96 1.52 1.12 0.72 60 72 83 104 59 687812 4162105 RS150
P.ang 12 8 1.19 1.06 0.94 1.17 0.58 0.54 66 78 84 56 58 687812 4162105 RS150
P.ang 11 7 1.92 1.89 1.64 2.18 1.49 0.99 98 124 149 162 76 687808 4162105 RS151
P.ang 16 13 1.98 1.89 1.58 3.18 2.27 1.56 95 121 170 220 74 687812 4162092 RS152
P.ang 11 4 2.48 2.03 1.56 2.85 1.32 1.22 67 85 145 169 85 687809 4162080 RS153
P.ang 16 14 1.23 0.77 0.66 2.44 1.92 1.75 70 99 143 160 56 687806 4162053 RS159
P.ang 17 9 1.49 1.37 1.16 2.63 2.14 1.66 56 83 190 197 67 687806 4162053 RS159
P.ang 11 5 2.08 1.91 1.47 1.83 1.71 1.22 137 161 190 160 NA 691591 4162972 RS16
P.ang 15 13 1.76 1.75 1.44 1.53 1.46 1.41 96 135 157 189 57 687903 4162060 RS170
P.ang 16 6 1.83 1.81 1.37 1.27 1.23 1.02 87 110 220 221 37 687903 4162060 RS170
P.ang 11 9 1.66 1.62 1.46 2.1 1.68 1.64 84 110 220 207 66 687889 4162052 RS174
P.ang 7 4 2.53 2.21 1.51 1.2 0.95 0.78 70 87 230 150 8 687890 4162022 RS178
P.ang 13 8 1.65 1.57 1.54 1.61 1.56 1.03 70 94 193 191 36 687890 4162022 RS178
P.ang 14 3 1.57 1.06 1.04 0.62 0.51 0.5 50 74 135 113 5 687887 4162016 RS179
P.ang 10 3 1.57 1.28 1.02 0.82 0.79 0.65 50 72 160 150 18 687901 4161997 RS183
