sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd name
M.sen 5 0 3.52 3.15 2.29 NA NA NA 108 142 188 146 NA NQ149
O.ole 4 0 4.89 4.34 4.27 NA NA NA 160 205 215 256 NA NQ150
O.ole 4 1 7.53 6.75 1.17 NA NA NA 189 277 292 216 NA NQ151
O.ole 3 2 8.44 7.21 4.92 NA NA NA 254 326 270 256 NA NQ151
O.ole 5 3 8.99 7.84 7.67 NA NA NA 242 297 456 398 NA NQ151
O.ole 10 0 5.88 5.15 4.77 NA NA NA 170 202 425 333 NA NQ152
O.ole 2 0 6.41 2.02 NA NA NA NA 126 152 247 254 NA NQ153
O.ole 7 0 3.18 2.37 1.99 NA NA NA 110 183 222 200 NA NQ153
O.ole 3 2 4.95 4.28 3.83 NA NA NA 136 167 230 266 NA NQ154
O.ole 6 0 4.22 3.87 3.65 NA NA NA 132 212 287 305 NA NQ155
O.ole 6 0 3.92 3.84 3.13 NA NA NA 150 225 273 244 NA NQ156
O.ole 4 5 9.53 5.78 4.79 NA NA NA 250 328 278 306 NA NQ156
T.art 4 0 19.02 13.08 12.97 NA NA NA 434 434 625 643 NA NQ157
T.art 11 0 14.03 12.43 11.94 NA NA NA 570 570 668 445 NA NQ158
T.art 7 0 20.5 19.41 18.43 NA NA NA 552 552 503 465 NA NQ158
T.art 7 0 17.82 15.78 14.29 NA NA NA 600 600 532 528 NA NQ159
T.art 8 0 11.23 10.16 8.41 NA NA NA 384 384 344 452 NA NQ160
T.art 9 0 13.46 10.65 10.23 NA NA NA 315 315 471 475 NA NQ161
T.art 3 0 12.46 11.37 4.87 NA NA NA 402 402 305 336 NA NQ162
